               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12029,              0.1667,                   0,            0.021111,             0.12667,            0.012144,           0.0034126,             0.10988,             0.13785,                   0,              0.0856,              0.0016,              0.0016
                   1,               0.112,             0.17651,                   0,             0.10032,             0.29333,            0.068357,            0.016896,             0.10202,             0.12965,                   0,            0.070235,           0.0032347,           0.0032347
                   2,             0.10238,             0.16495,                   0,             0.14478,                0.18,            0.077519,             0.02138,            0.093066,              0.1733,                   0,            0.054802,            0.004802,            0.004802
                   3,            0.093909,             0.16802,                   0,              0.1933,             0.31667,             0.12921,            0.035644,            0.093184,             0.17729,                   0,            0.039302,            0.006302,            0.006302
                   4,             0.08522,             0.15807,                   0,             0.10159,             0.50333,            0.099695,            0.025842,            0.088825,             0.16575,                   0,            0.023735,           0.0077347,           0.0077347
                   5,            0.082828,             0.15499,                   0,             0.12232,             0.72333,             0.11945,            0.041338,            0.085951,             0.13726,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.082356,             0.15493,                   0,             0.11904,             0.64333,             0.12229,            0.039169,            0.090997,              0.1382,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.078807,             0.15666,                   0,             0.11137,             0.76333,             0.12354,            0.037849,             0.08315,             0.14203,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.075056,             0.15854,                   0,              0.1994,             0.54333,             0.23634,            0.073681,            0.077729,             0.12512,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.068372,             0.16198,                   0,             0.31265,                0.65,             0.46207,             0.17049,            0.075819,             0.13362,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.074021,              0.1584,                   0,             0.46589,             0.76333,             0.63762,             0.20624,            0.062973,             0.11315,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.071901,             0.15836,                   0,             0.60381,             0.75187,             0.76267,             0.37355,             0.04792,             0.11522,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.06536,             0.15701,                   0,             0.31959,             0.79333,             0.32314,              0.1108,            0.064652,             0.11414,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.065745,             0.15471,                   0,             0.32176,                0.78,             0.32674,             0.11998,            0.064455,             0.11475,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.062108,             0.16021,                   0,             0.32837,             0.79333,             0.34095,             0.15549,            0.057674,             0.11338,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.057905,             0.16392,                   0,             0.50449,             0.84667,             0.65899,             0.24462,            0.050317,             0.11789,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.055677,             0.15173,                   0,             0.57464,              0.8286,             0.74716,             0.34255,            0.048494,             0.11207,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.054014,             0.16858,                   0,             0.49205,             0.77667,              0.6536,             0.23706,            0.054371,             0.12511,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.054764,             0.14815,                   0,             0.65998,                0.79,             0.79263,             0.39118,            0.045624,             0.11021,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.053305,             0.15029,                   0,             0.68316,             0.84092,              0.8181,             0.43336,            0.046631,             0.10849,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.05309,             0.15518,                   0,              0.8637,             0.91333,             0.90623,             0.42919,            0.042853,             0.10907,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.052557,             0.15481,                   0,             0.82843,             0.90134,             0.90898,             0.43831,             0.04335,             0.10911,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.049175,             0.14369,                   0,             0.84333,             0.89717,             0.91286,             0.47732,            0.043667,             0.10769,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.050355,             0.15328,                   0,             0.90825,             0.92388,             0.95493,             0.56474,            0.041071,             0.10807,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.046446,             0.14216,                   0,             0.77667,                0.91,             0.86962,             0.47835,            0.041601,             0.10808,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.044816,             0.15682,                   0,             0.91318,             0.92333,             0.95478,             0.54473,            0.039729,             0.11073,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.046413,             0.15076,                   0,             0.86938,                0.92,             0.93574,             0.55052,            0.038856,             0.10918,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.04553,             0.14738,                   0,             0.89349,             0.92276,              0.9545,             0.55945,            0.038307,             0.10816,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.045468,             0.14679,                   0,             0.90317,             0.93271,             0.95713,             0.56843,            0.037575,              0.1076,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.044512,              0.1406,                   0,             0.92995,             0.92667,             0.96626,             0.56771,            0.036845,              0.1074,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.044544,             0.15254,                   0,             0.84748,              0.9076,              0.9318,               0.532,            0.038538,              0.1087,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.044367,               0.151,                   0,             0.90283,             0.91667,             0.96024,             0.52104,            0.038735,             0.10802,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.040948,             0.14056,                   0,             0.87251,             0.91251,             0.93075,             0.52046,            0.038054,              0.1096,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.041386,             0.13495,                   0,             0.91986,             0.91826,             0.94536,             0.50685,            0.037361,             0.10818,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.043094,             0.14318,                   0,             0.92618,                0.92,             0.96915,             0.53582,            0.037504,             0.10967,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.039893,             0.13966,                   0,             0.94449,                0.92,             0.97173,             0.55012,            0.036197,             0.10808,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.040815,             0.14482,                   0,             0.91982,             0.92667,             0.97097,             0.58008,            0.035543,             0.10756,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.040391,             0.14194,                   0,             0.90912,             0.92667,             0.96887,             0.59806,            0.035148,             0.10756,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.039566,             0.13364,                   0,              0.9206,             0.92667,             0.96961,             0.61264,            0.033937,             0.10659,                   0,            0.002674,            0.002674,            0.002674
                  39,             0.03903,             0.14839,                   0,             0.91366,             0.91667,             0.96734,              0.6172,            0.033257,             0.10706,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.036522,             0.13128,                   0,             0.93595,             0.92543,             0.97351,             0.60551,            0.032924,             0.10645,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.039203,             0.14712,                   0,             0.93476,                0.92,             0.97117,             0.60382,            0.033464,             0.10692,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.037766,             0.13278,                   0,             0.93285,             0.92606,             0.97326,             0.63249,             0.03224,             0.10497,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.038049,             0.13309,                   0,              0.9292,             0.92333,              0.9712,             0.63019,            0.031939,              0.1052,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.036462,             0.13941,                   0,             0.91919,             0.92333,             0.97151,             0.62937,            0.031697,             0.10497,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.036082,             0.12723,                   0,             0.93772,                0.92,             0.97174,             0.62975,            0.031726,             0.10492,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.036486,             0.13441,                   0,              0.9304,                0.92,             0.97246,              0.6356,             0.03156,             0.10517,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.035947,             0.13711,                   0,             0.92931,             0.92019,             0.97323,             0.63372,             0.03165,             0.10548,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.035984,             0.13607,                   0,             0.92934,             0.92059,             0.97271,             0.64023,            0.031484,             0.10559,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.037976,             0.14218,                   0,             0.92908,             0.91697,             0.97216,              0.6378,            0.031515,             0.10544,                   0,            0.000496,            0.000496,            0.000496
